method,estimate,error_vs_experimental,ci_low,ci_high,covers_experimental
Naive diff-in-means,-8497.516142636992,-10291.858546907264,,,False
PSM (matched 185/185),1637.41634172973,-156.9260625405409,,,False
AIPW (linear outcome model),-3637.703163695184,-5432.045567965455,-4092.8234370226583,-3182.5828903677093,False
AIPW (gbm outcome model),-9468.365750278454,-11262.708154548724,-9720.039459385409,-9216.692041171498,False
