method,estimate,error_vs_experimental,ci_low,ci_high,covers_experimental
Naive diff-in-means,-15204.777468026914,-16999.119872297186,,,False
PSM (matched 185/185),2696.0356895135137,901.6932852432428,-559.793569926213,3282.995312924867,True
AIPW (linear outcome model),-8194.06702173019,-9988.40942600046,-10293.245384610742,-6094.888658849639,False
AIPW (gbm outcome model),-12565.138659194747,-14359.481063465017,-13202.930188588383,-11927.34712980111,False
